1,-9.568403471746365,-6720.0,"(1, 1)","[1000.           99.99         55.09        128.01          0.
    0.            0.           -2.96911539   -3.3132847    -5.0092484
   41.9608091    24.26582568   41.14774982  -54.69381584 -186.5071726
  -82.69216021   30.28241477   65.75489164   35.90138394]",[-0.64879483 -0.64879483 -0.64879483]
0,1,2,3,4,5
1,-0.9968648898982337,-6720.0,"(0, 0)","[1000.           93.42         54.52        116.58          0.
    0.            0.           -3.23360954   -3.54766588   -5.55484427
   36.74045904   23.71480254   34.07001462 -117.4906712  -172.7091929
 -148.2792264    44.35770181   66.89468056   53.78365283]",[-1. -1. -1.]
1,-9.568403471746365,-6730.0,"(1, 1)","[1000.           93.42         54.52        116.58          0.
    0.            0.           -3.23360954   -3.54766588   -5.55484427
   36.74045904   23.71480254   34.07001462 -117.4906712  -172.7091929
 -148.2792264    44.35770181   66.89468056   53.78365283]",[-1. -1. -1.]
0,1,2,3,4,5
1,-0.9968648898982337,-6730.0,"(0, 0)","[1000.           94.09         52.88        118.01          0.
    0.            0.           -3.35053675   -3.82169484   -5.80492828
   37.55996404   22.21344888   35.50577548 -120.6181612  -180.4189622
 -136.6954873    46.66933072   71.20180094   53.78365283]",[-0.9640034 -0.9640034 -0.9640034]
1,-9.568403471746365,-6740.0,"(1, 1)","[1000.           94.09         52.88        118.01          0.
    0.            0.           -3.35053675   -3.82169484   -5.80492828
   37.55996404   22.21344888   35.50577548 -120.6181612  -180.4189622
 -136.6954873    46.66933072   71.20180094   53.78365283]",[-0.9640034 -0.9640034 -0.9640034]
0,1,2,3,4,5
1,-0.9968648898982337,-6740.0,"(0, 0)","[1000.           97.34         53.5         120.13          0.
    0.            0.           -3.14470437   -3.94337912   -5.76559321
   41.37122104   24.09284069   37.59014811  -79.42289469 -162.7991082
 -110.3123903    29.58642421   71.20180094   43.41491703]",[-0.8378354 -0.8378354 -0.8378354]
1,-9.568403471746365,-6750.0,"(1, 1)","[1000.           97.34         53.5         120.13          0.
    0.            0.           -3.14470437   -3.94337912   -5.76559321
   41.37122104   24.09284069   37.59014811  -79.42289469 -162.7991082
 -110.3123903    29.58642421   71.20180094   43.41491703]",[-0.8378354 -0.8378354 -0.8378354]
