0,1,2,3,4,5
1,-27.637545193496408,10913.890412601653,"(0, 0)","[ 5.86596399e+03  5.91025009e+01  5.37799988e+01  1.48819995e+03
  1.37410004e+02  1.71299992e+01  7.08885975e+01  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -4.48197678e+00
 -1.45854306e+00 -3.71392969e-01 -3.52870705e+00 -2.32601827e+00
  4.79202811e+01  4.95417972e+01  5.12004540e+01  4.82030811e+01
  4.99673053e+01 -2.70961952e+01  5.31299938e+01  9.88685145e+01
  1.94896277e+00  4.91431123e+01  2.07017258e+01  8.41008382e+00
  4.38902683e-01  1.86449124e+01  8.41008382e+00]",[ 0.7399987 -1.        -1.        -1.        -1.       ]
0,1,2,3,4,5
1,-9.225622259418742,10913.890412601653,"(0, 0)","[5.27434795e+03 6.01274986e+01 5.33100014e+01 1.48240002e+03
 1.38429993e+02 1.68999996e+01 8.08885975e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20036212e-01
 2.38777723e+00 3.49709692e+00 8.71441694e-01 1.41671339e+00
 4.96265317e+01 5.33963254e+01 5.49011659e+01 5.11922270e+01
 5.10426988e+01 7.63812655e+01 1.60859495e+02 1.86374860e+02
 1.03861342e+02 1.11452060e+02 1.41944973e+00 1.24583168e+01
 2.03949501e+01 4.00399625e-01 2.89659928e+00]",[ 1.         -0.44875348 -0.44875348 -0.44875348 -0.44875348]
1,-27.637545193496408,10660.047840663377,"(0, 0)","[5.27434795e+03 6.01274986e+01 5.33100014e+01 1.48240002e+03
 1.38429993e+02 1.68999996e+01 8.08885975e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 1.20036212e-01
 2.38777723e+00 3.49709692e+00 8.71441694e-01 1.41671339e+00
 4.96265317e+01 5.33963254e+01 5.49011659e+01 5.11922270e+01
 5.10426988e+01 7.63812655e+01 1.60859495e+02 1.86374860e+02
 1.03861342e+02 1.11452060e+02 1.41944973e+00 1.24583168e+01
 2.03949501e+01 4.00399625e-01 2.89659928e+00]",[ 1.         -0.44875348 -0.44875348 -0.44875348 -0.44875348]
0,1,2,3,4,5
1,-9.225622259418742,10660.047840663377,"(0, 0)","[4.67247169e+03 5.99900017e+01 5.41599998e+01 1.48169995e+03
 1.36369995e+02 1.70386677e+01 9.08885975e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.20272088e+00
 4.81622111e+00 4.79750645e+00 4.26493185e+00 4.35361770e+00
 5.43042079e+01 5.44536878e+01 5.28626405e+01 5.22017575e+01
 5.25815965e+01 1.73887431e+02 1.34371187e+02 1.14800626e+02
 1.33893782e+02 1.07301853e+02 2.05942428e+01 1.56982295e+01
 1.56982295e+01 1.20807300e+01 6.94104760e+00]",[ 1.        -0.8891313 -0.8891313 -0.8891313 -0.8891313]
1,-27.637545193496408,11052.50242893042,"(0, 0)","[4.67247169e+03 5.99900017e+01 5.41599998e+01 1.48169995e+03
 1.36369995e+02 1.70386677e+01 9.08885975e+01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 4.20272088e+00
 4.81622111e+00 4.79750645e+00 4.26493185e+00 4.35361770e+00
 5.43042079e+01 5.44536878e+01 5.28626405e+01 5.22017575e+01
 5.25815965e+01 1.73887431e+02 1.34371187e+02 1.14800626e+02
 1.33893782e+02 1.07301853e+02 2.05942428e+01 1.56982295e+01
 1.56982295e+01 1.20807300e+01 6.94104760e+00]",[ 1.        -0.8891313 -0.8891313 -0.8891313 -0.8891313]
0,1,2,3,4,5
1,-9.225622259418742,11052.50242893042,"(0, 0)","[ 4.07197178e+03  6.07949982e+01  5.59700012e+01  1.48990002e+03
  1.37240005e+02  1.69786663e+01  1.00888597e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.82036487e+00
  5.88234878e-01 -9.80693294e-01  3.16043459e+00  2.25638218e+00
  4.87617527e+01  4.41760182e+01  4.32235083e+01  4.94286438e+01
  4.79107937e+01  3.18704064e+01 -7.26277379e+01 -8.95215978e+01
  2.45132795e+01  5.37149179e+00  9.90352705e+00  2.73119424e+01
  3.26891827e+01  1.04827454e+01  1.06022222e+01]",[ 1.         -0.74704593 -0.74704593 -0.74704593 -0.74704593]
1,-27.637545193496408,11054.172806294213,"(0, 0)","[ 4.07197178e+03  6.07949982e+01  5.59700012e+01  1.48990002e+03
  1.37240005e+02  1.69786663e+01  1.00888597e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.82036487e+00
  5.88234878e-01 -9.80693294e-01  3.16043459e+00  2.25638218e+00
  4.87617527e+01  4.41760182e+01  4.32235083e+01  4.94286438e+01
  4.79107937e+01  3.18704064e+01 -7.26277379e+01 -8.95215978e+01
  2.45132795e+01  5.37149179e+00  9.90352705e+00  2.73119424e+01
  3.26891827e+01  1.04827454e+01  1.06022222e+01]",[ 1.         -0.74704593 -0.74704593 -0.74704593 -0.74704593]
0,1,2,3,4,5
1,-9.225622259418742,11054.172806294213,"(0, 0)","[ 3.52461118e+03  6.08950005e+01  5.62299995e+01  1.49890002e+03
  1.39940002e+02  1.99786663e+01  1.09882985e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.75520196e+00
 -4.06845252e+00 -4.13121550e+00 -2.96343363e+00 -3.82123963e+00
  4.53417939e+01  4.51223382e+01  4.55277376e+01  4.30156883e+01
  4.32823038e+01 -7.33729979e+01 -7.88278384e+01 -5.83819041e+01
 -8.90009521e+01 -9.67266069e+01  3.26891827e+01  2.67713840e+01
  1.83529102e+01  3.50977937e+01  3.63037440e+01]",[ 0.89943874 -1.         -1.         -1.         -1.        ]
1,-27.637545193496408,11194.453925862163,"(0, 0)","[ 3.52461118e+03  6.08950005e+01  5.62299995e+01  1.49890002e+03
  1.39940002e+02  1.99786663e+01  1.09882985e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.75520196e+00
 -4.06845252e+00 -4.13121550e+00 -2.96343363e+00 -3.82123963e+00
  4.53417939e+01  4.51223382e+01  4.55277376e+01  4.30156883e+01
  4.32823038e+01 -7.33729979e+01 -7.88278384e+01 -5.83819041e+01
 -8.90009521e+01 -9.67266069e+01  3.26891827e+01  2.67713840e+01
  1.83529102e+01  3.50977937e+01  3.63037440e+01]",[ 0.89943874 -1.         -1.         -1.         -1.        ]
0,1,2,3,4,5
1,-9.225622259418742,11194.453925862163,"(0, 0)","[2915.05222834   61.64500046   56.65999985 1499.5         140.72999573
   21.87533379  119.88298512    0.            0.            0.
    0.           -4.57604346   -6.29652224   -5.83228448   -5.41326135
   -5.4738363    43.7761359    41.3453091    46.06709517   41.74640161
   44.3788603   -73.81141155 -139.00921129  -66.7613335  -121.25156999
 -113.61894581   26.23015703   38.57730668   10.94243112   34.70201874
   37.69072711]",[ 1.         -0.86455584 -0.86455584 -0.86455584 -0.86455584]
1,-27.637545193496408,11259.58462767937,"(0, 0)","[2915.05222834   61.64500046   56.65999985 1499.5         140.72999573
   21.87533379  119.88298512    0.            0.            0.
    0.           -4.57604346   -6.29652224   -5.83228448   -5.41326135
   -5.4738363    43.7761359    41.3453091    46.06709517   41.74640161
   44.3788603   -73.81141155 -139.00921129  -66.7613335  -121.25156999
 -113.61894581   26.23015703   38.57730668   10.94243112   34.70201874
   37.69072711]",[ 1.         -0.86455584 -0.86455584 -0.86455584 -0.86455584]
0,1,2,3,4,5
